-923.70865 -927.01100 0.02757 
-919.84509 -925.68837 0.05016 
-916.01812 -924.34508 0.07096 
-912.77794 -923.34119 0.09492 
-909.81578 -922.33839 0.11277 
-907.77069 -921.69201 0.12729 
-907.12652 -921.63166 0.13868 
-905.63538 -921.23869 0.15300 
-904.34979 -921.04553 0.17227 
-902.98976 -920.60562 0.18145 
-923.70865 -927.01100 0.02757 
-919.84509 -925.68837 0.05016 
-916.01812 -924.34508 0.07096 
-912.77794 -923.34119 0.09492 
-909.81578 -922.33839 0.11277 
-907.77069 -921.69201 0.12729 
-907.12652 -921.63166 0.13868 
-905.63538 -921.23869 0.15300 
-904.34979 -921.04553 0.17227 
-902.98976 -920.60562 0.18145 
-902.17952 -920.56723 0.19756 
-899.36207 -919.56320 0.21216 
-899.99381 -919.76269 0.20766 
-898.68306 -919.22956 0.21131 
-897.54864 -919.03937 0.22738 
-897.41862 -919.21926 0.23882 
-896.92969 -919.23173 0.25024 
-896.76983 -919.30953 0.25749 
-895.75716 -919.01786 0.26603 
-897.82177 -919.91734 0.26313 
-895.59519 -918.90256 0.26413 
-895.54496 -919.14622 0.27684 
-895.57144 -919.19001 0.27834 
-894.86979 -919.06937 0.28814 
-896.62368 -919.31986 0.26122 
-895.60036 -919.26797 0.28141 
-893.22913 -918.47157 0.29601 
-893.63161 -918.86380 0.30577 
-893.65190 -918.90304 0.30719 
-894.64198 -919.57872 0.31744 
-893.13330 -919.28772 0.33699 
-892.81854 -919.24182 0.34178 
-892.98494 -919.20641 0.33641 
-893.07503 -919.23804 0.33592 
-892.09629 -919.02970 0.34768 
-892.20614 -919.07906 0.34759 
-891.08924 -918.64230 0.35153 
-890.44368 -918.41436 0.35498 
-890.58740 -918.93343 0.37651 
-890.48157 -918.61406 0.36365 
-890.74518 -918.75078 0.36432 
-889.20837 -918.47225 0.38509 
-888.46684 -918.17003 0.38713 
-888.00220 -917.68199 0.37418 
-887.01962 -917.67359 0.39554 
-886.51659 -917.37435 0.39243 
-886.74770 -917.44544 0.39070 
-886.40987 -917.23553 0.38818 
-887.41144 -917.56163 0.38153 
-887.63390 -917.89741 0.39259 
-888.27258 -918.08727 0.38749 
-887.15488 -917.79573 0.39836 
-887.26730 -917.85280 0.39859 
-887.50513 -918.16394 0.40814 
-885.44318 -917.76606 0.43486 
-885.14316 -917.60475 0.43382 
-884.83463 -916.99847 0.41178 
-884.72866 -917.05378 0.41677 
-885.98413 -917.40883 0.40587 
-886.20636 -917.47394 0.40404 
-885.85783 -917.25984 0.40157 
